,SKU,ITEM,FAMILY,CATEGORY,STORE,DAY,QTY
304452,28430,989,2,0,9,10,26
304661,28639,1198,2,0,9,10,61
307204,692,692,2,0,0,11,18
307501,989,989,2,0,0,11,13
307710,1198,1198,2,0,0,11,22
310253,3741,692,2,0,1,11,9
310550,4038,989,2,0,1,11,1
310759,4247,1198,2,0,1,11,24
313302,6790,692,2,0,2,11,12
313599,7087,989,2,0,2,11,12
313808,7296,1198,2,0,2,11,70
316351,9839,692,2,0,3,11,10
316648,10136,989,2,0,3,11,3
316857,10345,1198,2,0,3,11,13
319400,12888,692,2,0,4,11,7
319697,13185,989,2,0,4,11,19
319906,13394,1198,2,0,4,11,42
322449,15937,692,2,0,5,11,14
322746,16234,989,2,0,5,11,21
322955,16443,1198,2,0,5,11,44
325498,18986,692,2,0,6,11,19
325795,19283,989,2,0,6,11,27
326004,19492,1198,2,0,6,11,75
328547,22035,692,2,0,7,11,12
328844,22332,989,2,0,7,11,4
329053,22541,1198,2,0,7,11,8
331596,25084,692,2,0,8,11,3
331893,25381,989,2,0,8,11,1
332102,25590,1198,2,0,8,11,23
334645,28133,692,2,0,9,11,11
334942,28430,989,2,0,9,11,19
335151,28639,1198,2,0,9,11,65
337694,692,692,2,0,0,12,20
337991,989,989,2,0,0,12,19
338200,1198,1198,2,0,0,12,38
340743,3741,692,2,0,1,12,12
341040,4038,989,2,0,1,12,2
341249,4247,1198,2,0,1,12,20
343792,6790,692,2,0,2,12,26
344089,7087,989,2,0,2,12,15
344298,7296,1198,2,0,2,12,64
346841,9839,692,2,0,3,12,12
347138,10136,989,2,0,3,12,5
347347,10345,1198,2,0,3,12,11
349890,12888,692,2,0,4,12,9
350187,13185,989,2,0,4,12,14
350396,13394,1198,2,0,4,12,38
352939,15937,692,2,0,5,12,24
353236,16234,989,2,0,5,12,20
353445,16443,1198,2,0,5,12,60
355988,18986,692,2,0,6,12,17
356285,19283,989,2,0,6,12,27
356494,19492,1198,2,0,6,12,72
359037,22035,692,2,0,7,12,6
359334,22332,989,2,0,7,12,3
359543,22541,1198,2,0,7,12,11
362086,25084,692,2,0,8,12,2
362383,25381,989,2,0,8,12,1
362592,25590,1198,2,0,8,12,23
365135,28133,692,2,0,9,12,13
365432,28430,989,2,0,9,12,20
365641,28639,1198,2,0,9,12,54
368184,692,692,2,0,0,13,10
368481,989,989,2,0,0,13,14
368690,1198,1198,2,0,0,13,33
371233,3741,692,2,0,1,13,8
371530,4038,989,2,0,1,13,2
371739,4247,1198,2,0,1,13,33
374282,6790,692,2,0,2,13,21
374579,7087,989,2,0,2,13,11
374788,7296,1198,2,0,2,13,62
377331,9839,692,2,0,3,13,7
377628,10136,989,2,0,3,13,2
377837,10345,1198,2,0,3,13,12
380380,12888,692,2,0,4,13,9
380677,13185,989,2,0,4,13,4
380886,13394,1198,2,0,4,13,42
383429,15937,692,2,0,5,13,17
383726,16234,989,2,0,5,13,24
383935,16443,1198,2,0,5,13,52
386478,18986,692,2,0,6,13,28
386775,19283,989,2,0,6,13,28
386984,19492,1198,2,0,6,13,54
389527,22035,692,2,0,7,13,13
389824,22332,989,2,0,7,13,5
390033,22541,1198,2,0,7,13,11
392576,25084,692,2,0,8,13,8
392873,25381,989,2,0,8,13,2
393082,25590,1198,2,0,8,13,19
395625,28133,692,2,0,9,13,18
395922,28430,989,2,0,9,13,6
396131,28639,1198,2,0,9,13,51
398674,692,692,2,0,0,14,31
398971,989,989,2,0,0,14,15
399180,1198,1198,2,0,0,14,38
401723,3741,692,2,0,1,14,18
402020,4038,989,2,0,1,14,6
402229,4247,1198,2,0,1,14,40
404772,6790,692,2,0,2,14,20
405069,7087,989,2,0,2,14,13
405278,7296,1198,2,0,2,14,81
407821,9839,692,2,0,3,14,10
408118,10136,989,2,0,3,14,6
408327,10345,1198,2,0,3,14,18
410870,12888,692,2,0,4,14,10
411167,13185,989,2,0,4,14,0
411376,13394,1198,2,0,4,14,62
413919,15937,692,2,0,5,14,19
414216,16234,989,2,0,5,14,30
414425,16443,1198,2,0,5,14,91
416968,18986,692,2,0,6,14,18
417265,19283,989,2,0,6,14,4
417474,19492,1198,2,0,6,14,107
420017,22035,692,2,0,7,14,21
420314,22332,989,2,0,7,14,1
420523,22541,1198,2,0,7,14,20
423066,25084,692,2,0,8,14,10
423363,25381,989,2,0,8,14,5
423572,25590,1198,2,0,8,14,19
426115,28133,692,2,0,9,14,17
426412,28430,989,2,0,9,14,0
426621,28639,1198,2,0,9,14,53
429164,692,692,2,0,0,15,39
429461,989,989,2,0,0,15,38
429670,1198,1198,2,0,0,15,55
432213,3741,692,2,0,1,15,34
432510,4038,989,2,0,1,15,8
432719,4247,1198,2,0,1,15,56
435262,6790,692,2,0,2,15,20
435559,7087,989,2,0,2,15,10
435768,7296,1198,2,0,2,15,93
438311,9839,692,2,0,3,15,11
438608,10136,989,2,0,3,15,9
438817,10345,1198,2,0,3,15,19
441360,12888,692,2,0,4,15,14
441657,13185,989,2,0,4,15,24
441866,13394,1198,2,0,4,15,81
444409,15937,692,2,0,5,15,32
444706,16234,989,2,0,5,15,39
444915,16443,1198,2,0,5,15,133
447458,18986,692,2,0,6,15,23
447755,19283,989,2,0,6,15,38
447964,19492,1198,2,0,6,15,133
450507,22035,692,2,0,7,15,20
450804,22332,989,2,0,7,15,6
451013,22541,1198,2,0,7,15,32
453556,25084,692,2,0,8,15,11
453853,25381,989,2,0,8,15,7
454062,25590,1198,2,0,8,15,30
456605,28133,692,2,0,9,15,16
456902,28430,989,2,0,9,15,32
457111,28639,1198,2,0,9,15,81
459654,692,692,2,0,0,16,33
459951,989,989,2,0,0,16,25
460160,1198,1198,2,0,0,16,58
462703,3741,692,2,0,1,16,31
463000,4038,989,2,0,1,16,6
463209,4247,1198,2,0,1,16,49
465752,6790,692,2,0,2,16,27
466049,7087,989,2,0,2,16,12
466258,7296,1198,2,0,2,16,110
468801,9839,692,2,0,3,16,13
469098,10136,989,2,0,3,16,8
469307,10345,1198,2,0,3,16,15
471850,12888,692,2,0,4,16,18
472147,13185,989,2,0,4,16,43
472356,13394,1198,2,0,4,16,79
474899,15937,692,2,0,5,16,31
475196,16234,989,2,0,5,16,60
475405,16443,1198,2,0,5,16,108
477948,18986,692,2,0,6,16,24
478245,19283,989,2,0,6,16,61
478454,19492,1198,2,0,6,16,135
480997,22035,692,2,0,7,16,16
481294,22332,989,2,0,7,16,13
481503,22541,1198,2,0,7,16,40
484046,25084,692,2,0,8,16,15
484343,25381,989,2,0,8,16,2
484552,25590,1198,2,0,8,16,30
487095,28133,692,2,0,9,16,18
487392,28430,989,2,0,9,16,34
487601,28639,1198,2,0,9,16,89
490144,692,692,2,0,0,17,24
490441,989,989,2,0,0,17,11
490650,1198,1198,2,0,0,17,43
493193,3741,692,2,0,1,17,16
493490,4038,989,2,0,1,17,2
493699,4247,1198,2,0,1,17,33
496242,6790,692,2,0,2,17,11
496539,7087,989,2,0,2,17,9
496748,7296,1198,2,0,2,17,63
499291,9839,692,2,0,3,17,9
499588,10136,989,2,0,3,17,6
499797,10345,1198,2,0,3,17,11
502340,12888,692,2,0,4,17,14
502637,13185,989,2,0,4,17,25
502846,13394,1198,2,0,4,17,55
505389,15937,692,2,0,5,17,24
505686,16234,989,2,0,5,17,35
505895,16443,1198,2,0,5,17,50
508438,18986,692,2,0,6,17,19
508735,19283,989,2,0,6,17,46
508944,19492,1198,2,0,6,17,122
511487,22035,692,2,0,7,17,10
511784,22332,989,2,0,7,17,9
511993,22541,1198,2,0,7,17,11
514536,25084,692,2,0,8,17,4
514833,25381,989,2,0,8,17,0
515042,25590,1198,2,0,8,17,19
517585,28133,692,2,0,9,17,15
517882,28430,989,2,0,9,17,22
518091,28639,1198,2,0,9,17,45
520634,692,692,2,0,0,18,14
520931,989,989,2,0,0,18,11
521140,1198,1198,2,0,0,18,24
523683,3741,692,2,0,1,18,14
523980,4038,989,2,0,1,18,2
524189,4247,1198,2,0,1,18,35
526732,6790,692,2,0,2,18,14
527029,7087,989,2,0,2,18,12
527238,7296,1198,2,0,2,18,52
529781,9839,692,2,0,3,18,7
530078,10136,989,2,0,3,18,3
530287,10345,1198,2,0,3,18,13
532830,12888,692,2,0,4,18,9
533127,13185,989,2,0,4,18,22
533336,13394,1198,2,0,4,18,61
535879,15937,692,2,0,5,18,15
536176,16234,989,2,0,5,18,13
536385,16443,1198,2,0,5,18,98
538928,18986,692,2,0,6,18,19
539225,19283,989,2,0,6,18,30
539434,19492,1198,2,0,6,18,97
541977,22035,692,2,0,7,18,14
542274,22332,989,2,0,7,18,7
542483,22541,1198,2,0,7,18,13
545026,25084,692,2,0,8,18,4
545323,25381,989,2,0,8,18,4
545532,25590,1198,2,0,8,18,18
548075,28133,692,2,0,9,18,16
548372,28430,989,2,0,9,18,16
548581,28639,1198,2,0,9,18,51
551124,692,692,2,0,0,19,19
551421,989,989,2,0,0,19,11
551630,1198,1198,2,0,0,19,33
554173,3741,692,2,0,1,19,15
554470,4038,989,2,0,1,19,2
554679,4247,1198,2,0,1,19,29
557222,6790,692,2,0,2,19,17
557519,7087,989,2,0,2,19,11
557728,7296,1198,2,0,2,19,46
560271,9839,692,2,0,3,19,7
560568,10136,989,2,0,3,19,3
560777,10345,1198,2,0,3,19,14
563320,12888,692,2,0,4,19,4
563617,13185,989,2,0,4,19,16
563826,13394,1198,2,0,4,19,53
566369,15937,692,2,0,5,19,18
566666,16234,989,2,0,5,19,28
566875,16443,1198,2,0,5,19,59
569418,18986,692,2,0,6,19,18
569715,19283,989,2,0,6,19,34
569924,19492,1198,2,0,6,19,68
572467,22035,692,2,0,7,19,7
572764,22332,989,2,0,7,19,5
572973,22541,1198,2,0,7,19,11
575516,25084,692,2,0,8,19,11
575813,25381,989,2,0,8,19,3
576022,25590,1198,2,0,8,19,17
578565,28133,692,2,0,9,19,8
578862,28430,989,2,0,9,19,24
579071,28639,1198,2,0,9,19,55
581614,692,692,2,0,0,20,23
581911,989,989,2,0,0,20,8
582120,1198,1198,2,0,0,20,31
584663,3741,692,2,0,1,20,8
584960,4038,989,2,0,1,20,3
585169,4247,1198,2,0,1,20,22
587712,6790,692,2,0,2,20,7
588009,7087,989,2,0,2,20,8
588218,7296,1198,2,0,2,20,54
590761,9839,692,2,0,3,20,8
591058,10136,989,2,0,3,20,4
591267,10345,1198,2,0,3,20,5
593810,12888,692,2,0,4,20,11
594107,13185,989,2,0,4,20,20
594316,13394,1198,2,0,4,20,59
596859,15937,692,2,0,5,20,29
597156,16234,989,2,0,5,20,24
597365,16443,1198,2,0,5,20,56
599908,18986,692,2,0,6,20,16
600205,19283,989,2,0,6,20,35
600414,19492,1198,2,0,6,20,95
602957,22035,692,2,0,7,20,2
603254,22332,989,2,0,7,20,7
603463,22541,1198,2,0,7,20,23
606006,25084,692,2,0,8,20,9
606303,25381,989,2,0,8,20,2
606512,25590,1198,2,0,8,20,18
609055,28133,692,2,0,9,20,13
609352,28430,989,2,0,9,20,21
609561,28639,1198,2,0,9,20,36
612104,692,692,2,0,0,21,23
612401,989,989,2,0,0,21,14
612610,1198,1198,2,0,0,21,33
615153,3741,692,2,0,1,21,16
615450,4038,989,2,0,1,21,6
615659,4247,1198,2,0,1,21,41
618202,6790,692,2,0,2,21,18
618499,7087,989,2,0,2,21,12
618708,7296,1198,2,0,2,21,51
621251,9839,692,2,0,3,21,8
621548,10136,989,2,0,3,21,4
621757,10345,1198,2,0,3,21,21
624300,12888,692,2,0,4,21,13
624597,13185,989,2,0,4,21,21
624806,13394,1198,2,0,4,21,60
627349,15937,692,2,0,5,21,18
627646,16234,989,2,0,5,21,33
627855,16443,1198,2,0,5,21,86
630398,18986,692,2,0,6,21,21
630695,19283,989,2,0,6,21,37
630904,19492,1198,2,0,6,21,100
633447,22035,692,2,0,7,21,13
633744,22332,989,2,0,7,21,7
633953,22541,1198,2,0,7,21,20
636496,25084,692,2,0,8,21,6
636793,25381,989,2,0,8,21,1
637002,25590,1198,2,0,8,21,15
639545,28133,692,2,0,9,21,20
639842,28430,989,2,0,9,21,22
640051,28639,1198,2,0,9,21,62
642594,692,692,2,0,0,22,39
642891,989,989,2,0,0,22,27
643100,1198,1198,2,0,0,22,68
645643,3741,692,2,0,1,22,15
645940,4038,989,2,0,1,22,11
646149,4247,1198,2,0,1,22,35
648692,6790,692,2,0,2,22,23
648989,7087,989,2,0,2,22,8
649198,7296,1198,2,0,2,22,64
651741,9839,692,2,0,3,22,8
652038,10136,989,2,0,3,22,7
652247,10345,1198,2,0,3,22,7
654790,12888,692,2,0,4,22,14
655087,13185,989,2,0,4,22,18
655296,13394,1198,2,0,4,22,78
657839,15937,692,2,0,5,22,26
658136,16234,989,2,0,5,22,46
658345,16443,1198,2,0,5,22,97
660888,18986,692,2,0,6,22,30
661185,19283,989,2,0,6,22,43
661394,19492,1198,2,0,6,22,132
663937,22035,692,2,0,7,22,23
664234,22332,989,2,0,7,22,8
664443,22541,1198,2,0,7,22,23
666986,25084,692,2,0,8,22,16
667283,25381,989,2,0,8,22,2
667492,25590,1198,2,0,8,22,29
670035,28133,692,2,0,9,22,13
670332,28430,989,2,0,9,22,35
670541,28639,1198,2,0,9,22,75
673084,692,692,2,0,0,23,22
673381,989,989,2,0,0,23,20
673590,1198,1198,2,0,0,23,57
676133,3741,692,2,0,1,23,13
676430,4038,989,2,0,1,23,6
676639,4247,1198,2,0,1,23,47
679182,6790,692,2,0,2,23,29
679479,7087,989,2,0,2,23,20
679688,7296,1198,2,0,2,23,81
682231,9839,692,2,0,3,23,10
682528,10136,989,2,0,3,23,11
682737,10345,1198,2,0,3,23,7
685280,12888,692,2,0,4,23,11
685577,13185,989,2,0,4,23,21
685786,13394,1198,2,0,4,23,66
688329,15937,692,2,0,5,23,17
688626,16234,989,2,0,5,23,25
688835,16443,1198,2,0,5,23,104
691378,18986,692,2,0,6,23,24
691675,19283,989,2,0,6,23,34
691884,19492,1198,2,0,6,23,111
694427,22035,692,2,0,7,23,6
694724,22332,989,2,0,7,23,2
694933,22541,1198,2,0,7,23,14
697476,25084,692,2,0,8,23,2
697773,25381,989,2,0,8,23,4
697982,25590,1198,2,0,8,23,20
700525,28133,692,2,0,9,23,15
700822,28430,989,2,0,9,23,21
701031,28639,1198,2,0,9,23,57
703574,692,692,2,0,0,24,29
703871,989,989,2,0,0,24,18
704080,1198,1198,2,0,0,24,33
706623,3741,692,2,0,1,24,9
706920,4038,989,2,0,1,24,10
707129,4247,1198,2,0,1,24,29
709672,6790,692,2,0,2,24,20
709969,7087,989,2,0,2,24,5
710178,7296,1198,2,0,2,24,61
712721,9839,692,2,0,3,24,5
713018,10136,989,2,0,3,24,7
713227,10345,1198,2,0,3,24,12
715770,12888,692,2,0,4,24,18
716067,13185,989,2,0,4,24,19
716276,13394,1198,2,0,4,24,44
718819,15937,692,2,0,5,24,19
719116,16234,989,2,0,5,24,30
719325,16443,1198,2,0,5,24,58
721868,18986,692,2,0,6,24,21
722165,19283,989,2,0,6,24,26
722374,19492,1198,2,0,6,24,71
724917,22035,692,2,0,7,24,4
725214,22332,989,2,0,7,24,6
725423,22541,1198,2,0,7,24,11
727966,25084,692,2,0,8,24,11
728263,25381,989,2,0,8,24,2
728472,25590,1198,2,0,8,24,16
731015,28133,692,2,0,9,24,15
731312,28430,989,2,0,9,24,11
731521,28639,1198,2,0,9,24,43
734064,692,692,2,0,0,25,18
734361,989,989,2,0,0,25,9
734570,1198,1198,2,0,0,25,30
737113,3741,692,2,0,1,25,9
737410,4038,989,2,0,1,25,2
737619,4247,1198,2,0,1,25,30
740162,6790,692,2,0,2,25,19
740459,7087,989,2,0,2,25,3
740668,7296,1198,2,0,2,25,52
743211,9839,692,2,0,3,25,6
743508,10136,989,2,0,3,25,4
743717,10345,1198,2,0,3,25,9
746260,12888,692,2,0,4,25,8
746557,13185,989,2,0,4,25,11
746766,13394,1198,2,0,4,25,62
749309,15937,692,2,0,5,25,24
749606,16234,989,2,0,5,25,19
749815,16443,1198,2,0,5,25,90
752358,18986,692,2,0,6,25,17
752655,19283,989,2,0,6,25,21
752864,19492,1198,2,0,6,25,81
755407,22035,692,2,0,7,25,8
755704,22332,989,2,0,7,25,6
755913,22541,1198,2,0,7,25,17
758456,25084,692,2,0,8,25,1
758753,25381,989,2,0,8,25,0
758962,25590,1198,2,0,8,25,22
761505,28133,692,2,0,9,25,7
761802,28430,989,2,0,9,25,21
762011,28639,1198,2,0,9,25,41
764554,692,692,2,0,0,26,13
764851,989,989,2,0,0,26,14
765060,1198,1198,2,0,0,26,31
767603,3741,692,2,0,1,26,12
767900,4038,989,2,0,1,26,5
768109,4247,1198,2,0,1,26,24
770652,6790,692,2,0,2,26,9
770949,7087,989,2,0,2,26,13
771158,7296,1198,2,0,2,26,33
773701,9839,692,2,0,3,26,4
773998,10136,989,2,0,3,26,7
774207,10345,1198,2,0,3,26,12
